map,loadFactor,n,insertMs,getMs,capacity
Chain,0.5,1000,3,1,2001
Chain,0.5,5000,3,3,10001
Chain,0.5,10000,3,8,20001
Chain,0.5,20000,15,14,40001
Chain,0.5,50000,14,25,100001
Chain,0.5,100000,29,90,200001
Chain,0.75,1000,0,0,1334
Chain,0.75,5000,0,1,6667
Chain,0.75,10000,3,5,13334
Chain,0.75,20000,5,9,26667
Chain,0.75,50000,26,33,66667
Chain,0.75,100000,37,75,133334
Chain,0.9,1000,0,0,1112
Chain,0.9,5000,1,1,5556
Chain,0.9,10000,2,5,11112
Chain,0.9,20000,5,13,22223
Chain,0.9,50000,14,31,55556
Chain,0.9,100000,37,87,111112
Probe,0.5,1000,0,0,2001
Probe,0.5,5000,1,1,10001
Probe,0.5,10000,5,3,20001
Probe,0.5,20000,4,6,40001
Probe,0.5,50000,11,14,100001
Probe,0.5,100000,27,47,200001
Probe,0.75,1000,0,0,1334
Probe,0.75,5000,1,1,6667
Probe,0.75,10000,1,2,13334
Probe,0.75,20000,3,4,26667
Probe,0.75,50000,10,16,66667
Probe,0.75,100000,32,69,133334
Probe,0.9,1000,0,0,1112
Probe,0.9,5000,1,1,5556
Probe,0.9,10000,2,3,11112
Probe,0.9,20000,4,8,22223
Probe,0.9,50000,13,19,55556
Probe,0.9,100000,23,54,111112
